"x","y"
1,4.19991296655649
1,7.51063410969052
1,2.12547277756094
2,8.98885742650768
2,10.2431054428304
2,11.2968232120521
3,7.35636467804675
3,10.505349395853
3,10.5116007864432
4,12.4345891023711
4,11.8926012326226
4,14.257964084072
5,19.1300497907184
5,11.7380211958355
5,16.0248538997036
6,13.2739770158633
6,15.9559749705091
6,16.8947961800922
7,20.0859926853223
7,17.1718503454801
7,19.9363088409011
8,21.72590251173
8,18.3909129099304
8,22.4755526425101
9,26.7770098584691
9,22.8051097911836
9,21.1283052929986
10,24.9680993774989
10,23.3464220925331
10,21.9752006974744
